Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Pool Swim,2025-07-13 13:27:03,false,"Pool Swim","--","3","00:00:16.9","143","146","0.0","--","--","0.0","--","--","--","--","--","No","00:00:16.9","1","--","00:00:00","00:00:21.5"
Pool Swim,2025-07-13 13:25:45,false,"Pool Swim","--","2","00:00:12.5","131","132","0.0","--","--","0.0","--","--","--","--","--","No","00:00:12.5","1","--","00:00:00","00:01:02.2"
Open Water Swimming,2025-07-11 07:18:34,false,"Florianópolis Open Water Swimming","1,715","321","00:43:35","120","152","2.0","2:32","1:07","0.0","665","48","15","-6","17.0","No","00:05:27.5","4","23.0","00:35:48","00:43:35"
Open Water Swimming,2025-07-09 07:18:47,false,"Florianópolis Open Water Swimming","1,385","418","00:43:03","137","173","3.1","3:07","1:07","0.0","595","57","14","-9","17.0","No","00:10:27","3","24.0","00:30:22","00:43:03"
Pool Swim,2025-07-07 19:47:59,false,"Pool Swim","2,100","589","00:41:24","144","162","3.2","1:52","1:24","0.0","943","39","24","--","--","No","00:41:24","1","--","00:39:16","00:41:43"
Open Water Swimming,2025-07-04 07:13:12,false,"Florianópolis Open Water Swimming","2,107","362","00:48:34","122","146","2.1","2:18","1:12","0.0","907","45","18","-7","17.0","No","00:03:40.6","5","23.0","00:42:31","00:48:34"
Open Water Swimming,2025-07-02 07:17:59,false,"Florianópolis Open Water Swimming","1,691","359","00:44:32","128","158","2.4","2:38","0:48","0.0","854","52","19","-7","16.0","No","00:04:30.3","4","18.0","00:36:49","00:44:32"
Pool Swim,2025-06-30 19:46:30,false,"Pool Swim","2,575","671","00:45:19","126","148","2.2","1:45","1:15","0.0","1046","36","23","--","--","No","00:45:19","1","--","00:44:57","00:45:38"
Open Water Swimming,2025-06-30 07:13:06,false,"Florianópolis Open Water Swimming","2,363","648","00:53:16","158","183","4.0","2:15","1:06","0.0","1060","45","19","-12","18.0","No","00:08:55.0","5","23.0","00:47:03","00:53:16"
Pool Swim,2025-06-27 19:22:55,false,"Pool Swim","3,000","635","00:51:39","166","187","4.1","1:43","1:28","0.0","1183","36","23","--","--","No","00:51:39","1","--","00:51:39","00:51:47"
